ID,especie,long_dec,lat_dec,ano_final
Vertebrado terrestre,Sus scrofa,-51.2507141126807,-23.4430505487467,2015
Vertebrado terrestre,Sus scrofa,-51.2510682596182,-23.4439532673231,2015
Vertebrado terrestre,Sus scrofa,-51.2514422652029,-23.4450004789891,2015
Vertebrado terrestre,Sus scrofa,-51.2515520603826,-23.4461113457672,2015
Vertebrado terrestre,Sus scrofa,-51.2516124440294,-23.4469784043749,2015
Vertebrado terrestre,Sus scrofa,-51.2535325653828,-23.442485957804,2015
Vertebrado terrestre,Sus scrofa,-51.2537400691773,-23.4434882700297,2015
Vertebrado terrestre,Sus scrofa,-51.253849606055,-23.4444546096892,2015
Vertebrado terrestre,Sus scrofa,-51.2539200529378,-23.4454571442395,2015
Vertebrado terrestre,Sus scrofa,-51.2536875032693,-23.4467221247509,2015
Vertebrado terrestre,Sus scrofa,-50.5712007980376,-23.1517663868542,2015
Vertebrado terrestre,Sus scrofa,-50.5710098181343,-23.1534550561662,2015
Vertebrado terrestre,Sus scrofa,-50.5716619061801,-23.1542156100555,2015
Vertebrado terrestre,Sus scrofa,-50.5726469133645,-23.1547331709368,2015
Vertebrado terrestre,Sus scrofa,-50.5731818769642,-23.1554663016176,2015
Vertebrado terrestre,Sus scrofa,-50.5735444951152,-23.1550969265066,2015
Vertebrado terrestre,Sus scrofa,-50.5732239279407,-23.1545269735578,2015
Vertebrado terrestre,Sus scrofa,-50.5726700319914,-23.1536040966033,2015
Vertebrado terrestre,Sus scrofa,-50.5733564417981,-23.1527839446016,2015
Vertebrado terrestre,Sus scrofa,-51.4915237862643,-22.7794764233527,2015
Vertebrado terrestre,Sus scrofa,-51.4918094698154,-22.7803608224935,2015
Vertebrado terrestre,Sus scrofa,-51.4918032249365,-22.781336455583,2015
Vertebrado terrestre,Sus scrofa,-51.4919039147686,-22.7822485247163,2015
Vertebrado terrestre,Sus scrofa,-51.4917228002716,-22.7833601984531,2015
Vertebrado terrestre,Sus scrofa,-51.4916090684007,-22.784245827827,2015
Vertebrado terrestre,Sus scrofa,-51.4916999525716,-22.7851398600465,2015
Vertebrado terrestre,Sus scrofa,-51.4917121880002,-22.7858353984806,2015
Vertebrado terrestre,Sus scrofa,-51.4915881617189,-22.7865674905867,2015
Vertebrado terrestre,Sus scrofa,-51.4915813331366,-22.7873805225627,2015
Vertebrado terrestre,Sus scrofa,-51.191454313832,-22.8163434471651,2015
Vertebrado terrestre,Sus scrofa,-51.1907046535701,-22.816832161411,2015
Vertebrado terrestre,Sus scrofa,-51.1900625812088,-22.8176098196952,2015
Vertebrado terrestre,Sus scrofa,-51.189244845262,-22.8182070116635,2015
Vertebrado terrestre,Sus scrofa,-51.1881147460019,-22.8184251564379,2015
Vertebrado terrestre,Sus scrofa,-51.187062083539,-22.8182637903146,2015
Vertebrado terrestre,Sus scrofa,-51.1860490776235,-22.8185992200395,2015
Vertebrado terrestre,Sus scrofa,-51.185074679899,-22.8186635899084,2015
Vertebrado terrestre,Sus scrofa,-51.1842471101027,-22.8192155996293,2015
Vertebrado terrestre,Sus scrofa,-51.1835952085401,-22.8199661423946,2015
Vertebrado terrestre,Sus scrofa,-50.9518566558926,-22.9394976099271,2015
Vertebrado terrestre,Sus scrofa,-50.9522854684699,-22.9404733588604,2015
Vertebrado terrestre,Sus scrofa,-50.9528216649986,-22.9411962001482,2015
Vertebrado terrestre,Sus scrofa,-50.953260178394,-22.9423616528678,2015
Vertebrado terrestre,Sus scrofa,-50.9538158950594,-22.9430844963897,2015
Vertebrado terrestre,Sus scrofa,-50.9510763100854,-22.9396780415861,2015
Vertebrado terrestre,Sus scrofa,-50.951173511638,-22.9406085233657,2015
Vertebrado terrestre,Sus scrofa,-50.9512316610446,-22.9416473951207,2015
Vertebrado terrestre,Sus scrofa,-50.9512801319424,-22.9424784930115,2015
Vertebrado terrestre,Sus scrofa,-50.9512699837027,-22.9435805780927,2015
Vertebrado terrestre,Sus scrofa,-51.3190749028814,-23.4010403753583,2015
Vertebrado terrestre,Sus scrofa,-51.3194784614327,-23.4019970373145,2015
Vertebrado terrestre,Sus scrofa,-51.3195004197342,-23.4029906101613,2015
Vertebrado terrestre,Sus scrofa,-51.3197280371244,-23.4040379596002,2015
Vertebrado terrestre,Sus scrofa,-51.3198479561172,-23.4050674632188,2015
Vertebrado terrestre,Sus scrofa,-51.3199179857463,-23.4056996218223,2015
Vertebrado terrestre,Sus scrofa,-51.3213967029788,-23.4060488702009,2015
Vertebrado terrestre,Sus scrofa,-51.3227279621164,-23.4061274226259,2015
Vertebrado terrestre,Sus scrofa,-51.3236968754833,-23.4061163858299,2015
Vertebrado terrestre,Sus scrofa,-51.3247930445441,-23.4061141114825,2015
Vertebrado terrestre,Sus scrofa,-51.050339852292,-23.4666751831423,2015
Vertebrado terrestre,Sus scrofa,-51.0498998444699,-23.4683373795573,2015
Vertebrado terrestre,Sus scrofa,-51.0511732242166,-23.4694389814739,2015
Vertebrado terrestre,Sus scrofa,-51.0533457539486,-23.466195439854,2015
Vertebrado terrestre,Sus scrofa,-51.0357761488629,-23.4909776932778,2015
Vertebrado terrestre,Sus scrofa,-51.0518669800803,-23.465653964053,2015
Vertebrado terrestre,Sus scrofa,-51.2507141126807,-23.4430505487467,2015
Vertebrado terrestre,Sus scrofa,-51.2516124440294,-23.4469784043749,2015
Vertebrado terrestre,Sus scrofa,-51.2535325653828,-23.442485957804,2015
Vertebrado terrestre,Sus scrofa,-51.2536875032693,-23.4467221247509,2015
Vertebrado terrestre,Sus scrofa,-51,-23.0000021381935,2015
Vertebrado terrestre,Sus scrofa,-51.2434390515893,-23.4478133592192,2015
Vertebrado terrestre,Sus scrofa,-51.2423384916409,-23.4509675455902,2015
Vertebrado terrestre,Sus scrofa,-51.2412381754143,-23.4542843145699,2015
Vertebrado terrestre,Sus scrofa,-51.2389603713505,-23.4562118209735,2015
Vertebrado terrestre,Sus scrofa,-51.241139415593,-23.4592073800212,2015
Vertebrado terrestre,Sus scrofa,-51.244185359926,-23.459681383919,2015
Vertebrado terrestre,Sus scrofa,-51.2463931319343,-23.4622342120341,2015
Vertebrado terrestre,Sus scrofa,-51.2469374529132,-23.4442850408946,2015
Vertebrado terrestre,Sus scrofa,-51.2482850939936,-23.4477063632206,2015
Vertebrado terrestre,Sus scrofa,-51.2607195589177,-23.4480564334226,2015
Vertebrado terrestre,Sus scrofa,-50.9462830385805,-22.9999207621266,2015
Vertebrado terrestre,Sus scrofa,-50.945327006141,-22.9993332611134,2015
Vertebrado terrestre,Sus scrofa,-50.9446149149633,-22.9987729401177,2015
Vertebrado terrestre,Sus scrofa,-50.94378574073,-22.9982035409378,2015
Vertebrado terrestre,Sus scrofa,-50.9442154591122,-22.997282281278,2015
Vertebrado terrestre,Sus scrofa,-50.9432793694469,-22.9957372292426,2015
Vertebrado terrestre,Sus scrofa,-50.9424989265253,-22.9953575430266,2015
Vertebrado terrestre,Sus scrofa,-50.9416305501838,-22.9952578575157,2015
Vertebrado terrestre,Sus scrofa,-50.9411429918386,-22.9945259677016,2015
Vertebrado terrestre,Aquarana catesbeianus,-51.87277778,-23.39444444,2006
Vertebrado terrestre,Aquarana catesbeianus,-51.90833333,-23.47777778,2006
Vertebrado terrestre,Aquarana catesbeianus,-51.90361111,-23.35555556,2006
Vertebrado terrestre,Aquarana catesbeianus,-51.88,-23.33222222,2006
Vertebrado terrestre,Aquarana catesbeianus,-48.84138889,-25.49861111,2002
Vertebrado terrestre,Aquarana catesbeianus,-49.03416667,-25.24,2009
Vertebrado terrestre,Aquarana catesbeianus,-53.11666667,-25.45,1997
Vertebrado terrestre,Aquarana catesbeianus,-49.05,-25.68333333,2003
