"",habitat,name_muni,abbrev_state,num_nivel,quantile_class,color_code
1,Invertebrado aquatico,Alto Paraná,PR,3,Médio,#ffc44d
2,Invertebrado aquatico,Alto Paraíso,PR,2,Baixo,#f9f871
3,Invertebrado aquatico,Altônia,PR,2,Baixo,#f9f871
4,Invertebrado aquatico,Andirá,PR,4,Alto,#ff7a43
5,Invertebrado aquatico,Cambará,PR,5,Muito Alto,#d11a2a
6,Invertebrado aquatico,Cambé,PR,4,Alto,#ff7a43
7,Invertebrado aquatico,Capitão Leônidas Marques,PR,4,Alto,#ff7a43
8,Invertebrado aquatico,Centenário Do Sul,PR,3,Médio,#ffc44d
9,Invertebrado aquatico,Diamante Do Norte,PR,4,Alto,#ff7a43
10,Invertebrado aquatico,Floresta,PR,5,Muito Alto,#d11a2a
11,Invertebrado aquatico,Foz Do Iguaçu,PR,4,Alto,#ff7a43
12,Invertebrado aquatico,Francisco Alves,PR,3,Médio,#ffc44d
13,Invertebrado aquatico,Guaraqueçaba,PR,1,Muito Baixo,#00a6ca
14,Invertebrado aquatico,Guaratuba,PR,1,Muito Baixo,#00a6ca
15,Invertebrado aquatico,Guaíra,PR,5,Muito Alto,#d11a2a
16,Invertebrado aquatico,Ibiporã,PR,4,Alto,#ff7a43
17,Invertebrado aquatico,Icaraíma,PR,3,Médio,#ffc44d
18,Invertebrado aquatico,Japurá,PR,5,Muito Alto,#d11a2a
19,Invertebrado aquatico,Jataizinho,PR,5,Muito Alto,#d11a2a
20,Invertebrado aquatico,Lapa,PR,1,Muito Baixo,#00a6ca
21,Invertebrado aquatico,Londrina,PR,1,Muito Baixo,#00a6ca
22,Invertebrado aquatico,Mangueirinha,PR,1,Muito Baixo,#00a6ca
23,Invertebrado aquatico,Maringá,PR,2,Baixo,#f9f871
24,Invertebrado aquatico,Matelândia,PR,4,Alto,#ff7a43
25,Invertebrado aquatico,Matinhos,PR,5,Muito Alto,#d11a2a
26,Invertebrado aquatico,Medianeira,PR,3,Médio,#ffc44d
27,Invertebrado aquatico,Nova Prata Do Iguaçu,PR,3,Médio,#ffc44d
28,Invertebrado aquatico,Palmital,PR,2,Baixo,#f9f871
29,Invertebrado aquatico,Paranaguá,PR,2,Baixo,#f9f871
30,Invertebrado aquatico,Pinhão,PR,1,Muito Baixo,#00a6ca
31,Invertebrado aquatico,Piraquara,PR,4,Alto,#ff7a43
32,Invertebrado aquatico,Ponta Grossa,PR,1,Muito Baixo,#00a6ca
33,Invertebrado aquatico,Pontal Do Paraná,PR,5,Muito Alto,#d11a2a
34,Invertebrado aquatico,Porto Rico,PR,5,Muito Alto,#d11a2a
35,Invertebrado aquatico,Primeiro De Maio,PR,3,Médio,#ffc44d
36,Invertebrado aquatico,Quedas Do Iguaçu,PR,3,Médio,#ffc44d
37,Invertebrado aquatico,Querência Do Norte,PR,1,Muito Baixo,#00a6ca
38,Invertebrado aquatico,Ribeirão Claro,PR,2,Baixo,#f9f871
39,Invertebrado aquatico,Santa Helena,PR,2,Baixo,#f9f871
40,Invertebrado aquatico,Santa Terezinha De Itaipu,PR,4,Alto,#ff7a43
41,Invertebrado aquatico,Sertaneja,PR,3,Médio,#ffc44d
42,Invertebrado aquatico,Sertanópolis,PR,2,Baixo,#f9f871
43,Invertebrado aquatico,São Jorge Do Patrocínio,PR,5,Muito Alto,#d11a2a
44,Invertebrado aquatico,São Mateus Do Sul,PR,1,Muito Baixo,#00a6ca
45,Invertebrado aquatico,Telêmaco Borba,PR,1,Muito Baixo,#00a6ca
46,Invertebrado aquatico,Ubiratã,PR,2,Baixo,#f9f871
47,Invertebrado aquatico,Abatiá,PR,,Deficiente de dados,#808080
48,Invertebrado aquatico,Adrianópolis,PR,,Deficiente de dados,#808080
49,Invertebrado aquatico,Agudos Do Sul,PR,,Deficiente de dados,#808080
50,Invertebrado aquatico,Almirante Tamandaré,PR,,Deficiente de dados,#808080
51,Invertebrado aquatico,Altamira Do Paraná,PR,,Deficiente de dados,#808080
52,Invertebrado aquatico,Alto Piquiri,PR,,Deficiente de dados,#808080
53,Invertebrado aquatico,Alvorada Do Sul,PR,,Deficiente de dados,#808080
54,Invertebrado aquatico,Amaporã,PR,,Deficiente de dados,#808080
55,Invertebrado aquatico,Ampére,PR,,Deficiente de dados,#808080
56,Invertebrado aquatico,Anahy,PR,,Deficiente de dados,#808080
57,Invertebrado aquatico,Ângulo,PR,,Deficiente de dados,#808080
58,Invertebrado aquatico,Antonina,PR,,Deficiente de dados,#808080
59,Invertebrado aquatico,Antônio Olinto,PR,,Deficiente de dados,#808080
60,Invertebrado aquatico,Apucarana,PR,,Deficiente de dados,#808080
61,Invertebrado aquatico,Arapongas,PR,,Deficiente de dados,#808080
62,Invertebrado aquatico,Arapoti,PR,,Deficiente de dados,#808080
63,Invertebrado aquatico,Arapuã,PR,,Deficiente de dados,#808080
64,Invertebrado aquatico,Araruna,PR,,Deficiente de dados,#808080
65,Invertebrado aquatico,Araucária,PR,,Deficiente de dados,#808080
66,Invertebrado aquatico,Ariranha Do Ivaí,PR,,Deficiente de dados,#808080
67,Invertebrado aquatico,Assaí,PR,,Deficiente de dados,#808080
68,Invertebrado aquatico,Assis Chateaubriand,PR,,Deficiente de dados,#808080
69,Invertebrado aquatico,Astorga,PR,,Deficiente de dados,#808080
70,Invertebrado aquatico,Atalaia,PR,,Deficiente de dados,#808080
71,Invertebrado aquatico,Balsa Nova,PR,,Deficiente de dados,#808080
72,Invertebrado aquatico,Bandeirantes,PR,,Deficiente de dados,#808080
