name_muni,Invertebrado aquatico,Planta aquatica,Vertebrado aquatico,Diatomacea,Invertebrado marinho,Vertebrado marinho,Microalga,Invertebrado terrestre,Planta terrestre,Vertebrado terrestre
Alto Paraná,1,,,,,,,3,1,
Alto Paraíso,2,,9,,,,,1,3,3
Altônia,1,,35,,,,,2,1,4
Andirá,1,,20,,,,,3,1,3
Cambará,3,,12,,,,,3,1,5
Cambé,2,1,6,,,,,3,20,7
Capitão Leônidas Marques,1,,17,,1,,,3,6,1
Centenário Do Sul,1,,,,,,,3,1,3
Diamante Do Norte,1,3,26,,,,,3,10,8
Floresta,1,,,,,,,3,1,2
Foz Do Iguaçu,2,7,52,,1,,,3,40,17
Francisco Alves,1,,,,,,,3,1,1
Guaraqueçaba,2,9,7,,3,,,3,33,14
Guaratuba,1,6,2,,8,1,,2,30,11
Guaíra,3,3,47,,,,,2,10,3
Ibiporã,1,,10,,,,,4,3,5
Icaraíma,2,4,17,,,,,4,8,3
Japurá,1,,,,,,,2,1,
Jataizinho,1,,16,,,,,4,2,5
Lapa,2,,,,,,,4,11,5
Londrina,2,6,23,,,,1,13,63,18
Mangueirinha,1,2,13,,,,,4,2,3
Maringá,1,3,9,,,,,9,40,15
Matelândia,2,2,6,,,,,2,27,14
Matinhos,1,5,2,,5,,,2,20,9
Medianeira,1,,4,,,,,3,3,4
Nova Prata Do Iguaçu,1,,10,,1,,,3,,1
Palmital,1,1,,,,,,1,,4
Paranaguá,1,6,6,1,46,1,2,2,33,15
Pinhão,1,1,,,,,,1,6,11
Piraquara,1,1,2,,,,,1,20,9
Ponta Grossa,1,6,4,,,,1,6,39,13
Pontal Do Paraná,1,6,,,10,1,,2,13,7
Porto Rico,2,7,33,,,,1,3,16,3
Primeiro De Maio,1,,4,,,,,4,3,
Quedas Do Iguaçu,2,1,14,,,,,3,11,
Querência Do Norte,1,1,1,,,,,3,2,1
Ribeirão Claro,1,1,15,,,,,3,1,3
Santa Helena,1,1,20,,,,,6,10,4
Santa Terezinha De Itaipu,1,2,5,,1,,,2,2,6
Sertaneja,1,,22,,,,,2,3,2
Sertanópolis,1,,30,,,,,2,1,3
São Jorge Do Patrocínio,2,1,8,,,,,2,7,8
São Mateus Do Sul,1,1,1,,,,,1,4,7
Telêmaco Borba,1,,3,,,,,3,15,7
Ubiratã,1,,,,,,,3,10,
Abatiá,,,,,,,,2,,
Adrianópolis,,1,,,,,,2,7,7
Agudos Do Sul,,,,,,,,1,2,1
Almirante Tamandaré,,,,,,,,1,3,5
Altamira Do Paraná,,,,,,,,2,1,
Alto Piquiri,,,,,,,,1,1,1
Alvorada Do Sul,,,2,,,,,3,2,2
Amaporã,,,,,,,,3,,3
Ampére,,,,,,,,3,,
Anahy,,,,,,,,2,1,
Ângulo,,,,,,,,3,,
Antonina,,8,8,1,8,1,1,7,32,14
Antônio Olinto,,,,,,,,1,2,1
Apucarana,,1,2,,,,,2,5,8
Arapongas,,1,7,,,,,4,22,6
Arapoti,,,5,,,,,4,4,2
Arapuã,,1,,,,,,2,,
Araruna,,1,,,,,,3,3,1
Araucária,,,6,,2,,,1,10,12
Ariranha Do Ivaí,,,,,,,,1,,
Assaí,,,10,,,,,3,1,3
Assis Chateaubriand,,1,,,,,,3,3,1
Astorga,,,,,,,,3,7,
Atalaia,,,,,,,,2,1,
Balsa Nova,,5,1,,,,,1,10,14
Bandeirantes,,,9,,,,,2,8,5
Barbosa Ferraz,,,,,,,,3,6,
Barracão,,,,,,,,1,,
Barra Do Jacaré,,,,,,,,2,1,1
Bela Vista Da Caroba,,,,,,,,3,,
Bela Vista Do Paraíso,,,,,,,,3,1,1
Bituruna,,,15,,,,,1,3,1
Boa Esperança,,,1,,,,,2,,1
Boa Esperança Do Iguaçu,,,,,,,,1,,
Boa Ventura De São Roque,,,,,,,,1,1,2
Boa Vista Da Aparecida,,1,4,,,,,3,4,
Bocaiúva Do Sul,,1,3,,,,,1,10,4
Bom Jesus Do Sul,,,,,,,,1,,1
Bom Sucesso,,,,,,,,3,1,2
Bom Sucesso Do Sul,,,,,,,,3,,
Borrazópolis,,,,,,,,2,1,1
Braganey,,,1,,,,,2,1,
Brasilândia Do Sul,,,1,,,,,3,,
Cafeara,,,,,,,,5,2,
Cafelândia,,1,,,,,,2,1,
Cafezal Do Sul,,,,,,,,2,1,
Califórnia,,,3,,,,,3,1,3
Cambira,,,1,,,,,3,1,2
Campina Da Lagoa,,,,,,,,2,5,
Campina Do Simão,,,,,,,,1,,4
Campina Grande Do Sul,,1,2,,,,1,3,16,7
Campo Bonito,,,,,,,,1,,
Campo Do Tenente,,1,,,,,,1,6,3
Campo Largo,,1,2,,,,1,1,20,12
Campo Magro,,,,,,,1,1,,2
Campo Mourão,,5,4,,,,,2,48,12
Cândido De Abreu,,2,,,,,,7,4,1
Candói,,,15,,,,,1,1,3
Cantagalo,,1,,,,,,3,3,
Capanema,,,8,,,,,3,4,5
Carambeí,,,,,,,,2,2,5
Carlópolis,,,,,,,,3,1,
Cascavel,,2,5,,,,,4,29,12
Castro,,,2,,,,,8,13,9
Catanduvas,,,1,,,,,2,2,
Cerro Azul,,1,,,,,,1,12,3
Céu Azul,,1,3,,,,,1,8,5
Chopinzinho,,1,1,,,,,2,1,1
Cianorte,,,2,,,,,4,9,6
Cidade Gaúcha,,,,,,,,2,2,4
Clevelândia,,,,,,,,2,,3
Colombo,,2,,,,,,4,42,5
Colorado,,,,,,,,1,2,2
Congonhinhas,,,3,,,,,1,2,
Conselheiro Mairinck,,,,,,,,1,1,
Contenda,,,1,,,,,1,2,
Corbélia,,,,,,,,2,1,6
Cornélio Procópio,,,4,,,,,3,2,7
Coronel Domingos Soares,,,,,,,,1,,4
Coronel Vivida,,,,,,,,1,1,
Corumbataí Do Sul,,,,,,,,3,3,
Cruzeiro Do Iguaçu,,,2,,,,,2,1,1
Cruzeiro Do Oeste,,,,,,,,3,1,4
Cruzeiro Do Sul,,,,,,,,2,2,
Cruz Machado,,,1,,,,,1,2,1
Cruzmaltina,,,,,,,,3,1,
Curitiba,,5,6,,,,1,14,147,20
Curiúva,,1,3,,,,,3,2,
Diamante Do Sul,,,,,,,,1,,2
Diamante D'oeste,,,2,,,,,1,1,3
Dois Vizinhos,,2,1,,,,,3,23,4
Douradina,,,,,,,,2,2,
Doutor Camargo,,,,,,,,3,1,2
Enéas Marques,,,,,,,,2,,
Engenheiro Beltrão,,1,,,,,,3,1,
Esperança Nova,,,,,,,,2,,
Entre Rios Do Oeste,,1,4,,,,,7,2,
Espigão Alto Do Iguaçu,,,,,,,,1,,
Farol,,,,,,,,3,3,
Faxinal,,,,,,,,2,6,3
Fazenda Rio Grande,,,,,,,,1,3,3
Fênix,,1,,,,,,2,11,6
Fernandes Pinheiro,,,4,,,,,1,16,8
Figueira,,,,,,,,2,2,
Floraí,,,,,,,,3,1,
Flor Da Serra Do Sul,,,,,,,,1,,
Florestópolis,,,1,,,,,2,,
Flórida,,,,,,,,2,1,
Formosa Do Oeste,,,,,,,,2,1,
Francisco Beltrão,,,,,,,,1,4,3
Foz Do Jordão,,,4,,,,,1,,1
General Carneiro,,2,,,,,,1,7,3
Godoy Moreira,,,,,,,,1,1,
Goioerê,,,,,,,,2,3,
Goioxim,,,,,,,,1,1,
Grandes Rios,,,,,,,,3,1,
Guairaçá,,1,,,,,,3,1,
Guamiranga,,,,,,,,1,2,
Guapirama,,,5,,,,,3,1,
Guaporema,,,,,,,,2,,1
Guaraci,,,,,,,,2,1,
Guaraniaçu,,,1,,,,,1,2,
Guarapuava,,1,,,,,,2,51,8
Honório Serpa,,,,,,,,1,,
Ibaiti,,1,7,,,,,3,3,2
Ibema,,,,,,,,2,1,
Iguaraçu,,,,,,,,3,1,
Iguatu,,,,,,,,2,1,
Imbaú,,,,,,,,1,3,3
Imbituva,,1,,,,,,2,2,2
Inácio Martins,,1,,,,,,1,,2
Inajá,,,,,,,,2,1,2
Indianópolis,,,,,,,,2,1,
Ipiranga,,1,,,,,,1,,5
Iporã,,,,,,,,2,1,1
Iracema Do Oeste,,,,,,,,2,1,
Irati,,1,,,,,,1,27,6
Iretama,,,2,,,,,3,10,2
Itaguajé,,1,5,,,,,3,3,
Itaipulândia,,,5,,,,,6,1,1
Itambaracá,,,5,,,,,4,1,1
Itambé,,,3,,,,,1,6,
Itapejara D'oeste,,,,,,,1,2,,1
Itaperuçu,,1,,,,,,1,5,3
Itaúna Do Sul,,,,,,,,3,1,3
Ivaí,,,1,,,,,1,,
Ivaiporã,,,,,,,,3,5,
Ivaté,,1,,,,,,2,1,
Ivatuba,,,,,,,,3,1,
Jaboti,,,,,,,,2,1,
Jacarezinho,,,4,,,,,3,3,3
Jaguapitã,,,7,,,,,7,1,
Jaguariaíva,,1,1,,,,,3,17,7
Jandaia Do Sul,,,1,,,,,3,1,2
Janiópolis,,,,,,,,3,1,
Japira,,,,,,,,1,1,
Jardim Alegre,,,,,,,,2,2,
Jardim Olinda,,1,,,,,,2,1,
Jesuítas,,1,,,,,,2,1,
Joaquim Távora,,,,,,,,3,3,
Jundiaí Do Sul,,,,,,,,1,2,
Juranda,,,,,,,,2,7,1
Jussara,,,,,,,,2,,1
Kaloré,,,1,,,,,2,1,
Laranjal,,1,,,,,,1,2,1
Laranjeiras Do Sul,,,,,,,,2,2,
Leópolis,,,2,,,,,3,1,1
Lidianópolis,,,,,,,,3,1,
Lindoeste,,,,,,,,2,1,4
Loanda,,,,,,,,2,2,
Lobato,,,,,,,,2,2,
Luiziana,,1,1,,,,,2,13,3
Lunardelli,,,,,,,,2,2,1
Lupionópolis,,,,,,,,2,2,
Mallet,,,,,,,,1,4,1
Mamborê,,1,,,,,,2,,
Mandaguaçu,,,,,,,,2,1,2
Mandaguari,,,1,,,,,3,1,3
Mandirituba,,,,,,,,1,6,1
Manfrinópolis,,,,,,,,1,,
Manoel Ribas,,,,,,,,2,1,2
Marechal Cândido Rondon,,1,10,,,,,9,1,4
Maria Helena,,,,,,,,2,1,2
Marialva,,,1,,,,,4,6,4
Marilândia Do Sul,,,,,,,,3,1,5
Marilena,,,6,,,,,3,,5
Mariluz,,,2,,,,,2,1,1
Mariópolis,,,,,,,,2,,
Maripá,,,,,,,,2,1,2
Marmeleiro,,,,,,,,4,1,1
Marquinho,,,,,,,,1,,
Marumbi,,,,,,,,1,2,
Mato Rico,,,,,,,,2,5,7
Mauá Da Serra,,1,2,,,,,3,4,3
Mercedes,,,5,,,,,5,,
Mirador,,,,,,,,3,1,
Miraselva,,,,,,,,7,1,
Missal,,,3,,,,,3,1,1
Moreira Sales,,,,,,,,2,3,2
Morretes,,4,4,,,,,4,32,14
Munhoz De Melo,,,,,,,,3,1,
Nossa Senhora Das Graças,,1,,,,,,3,1,
Nova Aliança Do Ivaí,,,1,,,,,3,1,
Nova América Da Colina,,,,,,,,1,1,
Nova Aurora,,,,,,,,2,1,4
Nova Cantu,,,,,,,,3,3,3
Nova Esperança,,,,,,,,1,5,
Nova Esperança Do Sudoeste,,,,,,,,1,1,
Nova Fátima,,,10,,,,,3,1,
Nova Laranjeiras,,1,,,,,,2,2,2
Nova Londrina,,1,,,,,,3,2,
Nova Olímpia,,1,,,,,,2,2,2
Nova Santa Bárbara,,,,,,,,2,1,
Nova Santa Rosa,,,,,,,,2,,
Nova Tebas,,2,,,,,,3,7,3
Novo Itacolomi,,,,,,,,2,1,
Ortigueira,,1,8,,,,,1,9,4
Ourizona,,,,,,,,2,1,
Ouro Verde Do Oeste,,,,,,,,2,1,
Paiçandu,,,,,,,,2,2,1
Palmas,,,1,,,,,1,4,11
Palmeira,,2,1,,,,,1,20,10
Palotina,,,1,,,,,3,7,5
Paraíso Do Norte,,,,,,,,2,1,
Paranacity,,,5,,,,,3,1,1
Paranapoema,,,9,,,,,3,1,
Paranavaí,,1,1,,,,,3,6,5
Pato Bragado,,,6,,,,,2,,1
Pato Branco,,,,,,,,2,5,2
Paula Freitas,,,,,,,,1,1,
Paulo Frontin,,,,,,,,1,1,2
Peabiru,,,,,,,,3,3,2
Perobal,,1,,,,,,2,1,
Pérola,,,,,,,,2,1,
Pérola D'oeste,,,,,,,,1,1,
Piên,,,,,,,,1,,
Pinhais,,1,,,,,,3,32,7
Pinhalão,,,,,,,,2,1,
Pinhal De São Bento,,,,,,,,3,,
Piraí Do Sul,,,3,,,,,1,5,7
Pitanga,,,,,,,,1,6,6
Pitangueiras,,,1,,,,,2,2,
Planaltina Do Paraná,,,,,,,,3,,2
Planalto,,,,,,,,3,3,
Porecatu,,,4,,,,,2,,2
Porto Amazonas,,,,,,,,1,2,6
Porto Barreiro,,,1,,,,,1,,
Porto Vitória,,,,,,,,1,,
Prado Ferreira,,,1,,,,,2,1,
Pranchita,,,,,,,,1,,
Presidente Castelo Branco,,,,,,,,2,2,
Prudentópolis,,,,,,,,4,4,2
Quarto Centenário,,,,,,,,2,,
Quatiguá,,,,,,,,3,1,1
Quatro Barras,,1,,,,,,2,16,9
Quatro Pontes,,,,,,,,5,,
Quinta Do Sol,,,,,,,,3,2,
Quitandinha,,,,,,,,1,1,3
Ramilândia,,,1,,,,,2,1,
Rancho Alegre,,,9,,,,,2,4,1
Rancho Alegre D'oeste,,,1,,,,,2,3,
Realeza,,,18,,,,,3,6,5
Rebouças,,,,,,,,1,,
Renascença,,,,,,,,1,,
Reserva,,,,,,,,1,5,4
Reserva Do Iguaçu,,2,,,,,,1,2,6
Ribeirão Do Pinhal,,,13,,,,,3,2,
Rio Azul,,,,,,,,1,1,2
Rio Bom,,,,,,,,2,1,
Rio Bonito Do Iguaçu,,,6,,,,,2,,2
Rio Branco Do Ivaí,,,,,,,,3,,
